flag,year,cattle_afflicted,cattle_treated,cattle_death_disease,cattle_death_other,cattle_vac_total,cattle_vac_anthrax,cattle_vac_blackleg,cattle_vac_pleuro_pneumonia,cattle_vac_hemorrhagic_septicemia,cattle_vac_rinderpest,cattle_vac_other,total_deaths,male_deaths,female_deaths,region,
SN,2005,1419629,570647,664782,74089,1801617,642578,846499,172198,248999,0,174834,738871,299114,439758,0
SN,2006,1279358,493408,556111,74689,1780697,745921,635415,140413,157906,44068,56974,630800,259333,371467,0
SN,2007,1506422,641292,644372,83243,2531890,1022317,755366,224206,287908,45980,196112,727615,304887,422728,0
SN,2008,2029702,783164,1145659,221449,2280573,1055530,973945,188660,242525,29808,195024,1367109,543111,823997,0
SN,2009,1675940,747844,794199,96140,2656947,817807,1010811,242595,378401,-1,204899,890339,355130,535209,0
SN,2010,2029892,1100134,848241,91813,3714305,964308,1422168,262763,732109,0,332956,940054,378006,562048,0
SN,2011,1965682,1087378,858688,114083,3584930,1238342,1375603,294440,521705,0,210046,972771,401313,571457,0
SN,2012,1843812,1008047,728552,95214,4232448,1305271,1432225,702826,477332,0,314793,823766,354006,469760,0
SN,2013,1878433,1145956,663050,140903,4533948,1221853,1654910,550474,652913,0,453798,803952,315974,487978,0
SN,2014,1728722,1089406,623510,90320,5582651,1872037,1926597,858511,667168,0,258337,713829,288320,425509,0
SN,2015,1561242,1063001,508751,99743,5771517,1952681,2002396,673850,717824,0,424766,616398,260445,355953,0
SN,2016,1935950,1381596,619620,94054,8752749,3188450,2708811,732767,1387253,0,735468,713674,304238,409436,0
SN,2017,2504581,1672330,1022409,658082,9002137,3666230,3256623,601396,796407,0,681482,1680491,703801,976690,0
SN,2018,2151063,1453060,722980,115898,6804928,2342930,2182722,735183,643094,0,900999,838878,331703,507175,0
SN,2019,1258695,814582,480459,116365,4899570,2278362,1705690,717359,592694,0,571324,596824,258211,338613,0
SN,2020,1311082,945878,452270,100092,4511737,2540526,1697748,474063,407463,0,0,552362,244407,307955,0
TI,2003,179794,79052,0,0,1271974,0,0,0,0,0,0,77975,0,0,0
TI,2004,197778,89304,81484,93394,1202634,0,0,0,0,0,0,0,0,0,0
TI,2005,310140,149935,151580,65960,1036284,391099,234499,231033,179279,0,132791,217540,97861,119679,0
